rowid,school_name,shool_code
136,北京市朝阳区人大附中朝阳分校,1101050242013411000154345
137,北京市朝阳外国语学校,1101050250353411000224345
138,北京联合大学,1101050250414111011417368
139,北京教育科学研究院附属实验中学,1101050260383411000228341
140,北京世青国际学校,1101050260473411000170345
141,对外经济贸易大学附属中学,1101050260483411000226341
142,北京市私立新亚中学,1101050282003411000230341
143,中国红十字基金会北京拔萃双语学校,1101050292003411000229345
144,北京市朝阳区青苗双语国际学校,1101050300093411000191345
145,华中师范大学第一附属中学朝阳学校,1101050300173411000276341
146,北京市自动化工程学校,1101050310163611000115362
147,北京信息工程学院附属中学,1101050310193411000225342
148,北京市力迈外国语学校,1101050310203411000221345
149,北京市对外贸易学校,1101050322053611000117362
150,北京政法职业学院,1101050330064111012451368
151,北京水利水电学校,1101050340033611000114362
152,北京市实验外国语学校,1101050350013411000327341
153,北京市第二外国语学院附属中学,1101050350023411000278341
154,东北师范大学附属中学朝阳学校,1101050360033411000032341
155,北京市朝阳区爱迪外国语学校,1101050360033411000282345
156,北京市朝阳区金色河畔高尔夫学校,1101050372053611000008365
157,中国民航北京中等专业学校,1101050430033611000131362
158,中央美术学院附属中等美术学校,1101051459502368858999
159,中国音乐学院附中,1101051484629562108999
160,北京市陈经纶中学分校,1101051489711891208999
161,北京市第九十四中学,1101051490841719968999
162,清华大学附属中学将台路校区,1101051516166039560999
163,翰彩培训中心,1101051516608946696999
164,清华附中奥森校区,1101051518165929916999
165,北京市八十学校,1101051522053728139999
166,中国科学院附属实验学校分校,1101051547016427967999
167,中央民族大学附属中学,1101051552377855343999
168,北京市八十中国际学校,1101055010093411000147345
169,北京市求实职业学校,1101055010093611000080365
170,北京市第八十中学,1101055010143411000286341
171,北京师范大学第四附属中学,1101060010023411000124341
172,北京新桥外国语高中学校(附设普通高中班),1101060010163611000071349
173,北京新桥外国语高中学校(职业高中学校),1101060010163611000071365
174,北京市建工职工中等专业学校,1101060040113611000070364
175,北京市文化艺术职业学校,1101060040153611000141365
176,北京市第二体育运动学校,1101060040293611000122362
177,北京体育职业学院,1101060040294111014215368
178,北京第一航天工业学校,1101060060013611000063362
179,北京市航天中学,1101060060073411000125341
180,北京市丰台区东铁匠营第一中学,1101060070073411000126341
181,北京医药职工中等专业学校,1101060070223611000069364
182,北京市大成学校,1101060080163411000127345
183,北京市振华旅游学校,1101060080203611000064362
184,中国煤矿文工团艺术学校,1101060080213611000119364
185,中国教育科学研究院丰台实验学校,1101060080243411000128345
186,北京市邮政学校,1101060080263611000062362
187,北京市丰台区丰台第二中学,1101060090063411000131341
188,北京市首都师范大学附属丽泽中学,1101060090083411000132341
189,首都经济贸易大学附属中学,1101060090213411000130341
190,北大附属实验学校,1101060100073411000144345
191,北京市第八中学怡海分校,1101060100153411000133341
192,北京市第十中学,1101060110023411000134341
193,北京市丰华中学,1101060110063411000175342
194,北京市丰台区长辛店第一中学,1101060110163411000135341
