rowid,name
275,重庆文化艺术职业学院
276,重庆科技职业学院
277,重庆资源与环境保护职业学院
278,重庆护理职业学院
279,河北大学
280,河北工程大学
281,河北地质大学
282,河北工业大学
283,华北理工大学
284,河北科技大学
285,河北建筑工程学院
286,河北水利电力学院
287,河北农业大学
288,河北医科大学
289,河北北方学院
290,承德医学院
291,河北师范大学
292,保定学院
293,河北民族师范学院
294,唐山师范学院
295,廊坊师范学院
296,衡水学院
297,石家庄学院
298,邯郸学院
299,邢台学院
300,沧州师范学院
301,石家庄铁道大学
302,燕山大学
303,河北科技师范学院
304,唐山学院
305,华北科技学院
306,中国人民武装警察部队学院
307,河北体育学院
308,河北金融学院
309,北华航天工业学院
310,防灾科技学院
311,河北经贸大学
312,中央司法警官学院
313,河北传媒学院
314,河北工程技术学院
315,河北美术学院
316,河北科技学院
317,河北外国语学院
318,河北大学工商学院
319,华北理工大学轻工学院
320,河北科技大学理工学院
321,河北师范大学汇华学院
322,河北经贸大学经济管理学院
323,河北医科大学临床学院
324,华北电力大学科技学院
325,河北工程大学科信学院
326,河北工业大学城市学院
327,燕山大学里仁学院
328,石家庄铁道大学四方学院
329,河北地质大学华信学院
330,河北农业大学现代科技学院
331,华北理工大学冀唐学院
332,中国地质大学长城学院
333,燕京理工学院
334,北京中医药大学东方学院
335,北京交通大学海滨学院
336,河北东方学院
337,河北中医学院
338,张家口学院
339,河北环境工程学院
340,河北工业职业技术学院
341,邯郸职业技术学院
342,石家庄职业技术学院
343,张家口职业技术学院
344,承德石油高等专科学校
345,邢台职业技术学院
346,河北软件职业技术学院
347,河北石油职业技术学院
348,河北建材职业技术学院
349,河北政法职业学院
350,沧州职业技术学院
351,河北能源职业技术学院
352,石家庄铁路职业技术学院
353,保定职业技术学院
354,秦皇岛职业技术学院
355,石家庄工程职业学院
356,石家庄城市经济职业学院
357,唐山职业技术学院
358,衡水职业技术学院
359,唐山工业职业技术学院
360,邢台医学高等专科学校
361,河北省艺术职业学院
362,河北旅游职业学院
363,石家庄财经职业学院
364,河北交通职业技术学院
365,河北化工医药职业技术学院
366,石家庄信息工程职业学院
367,河北对外经贸职业学院
368,保定电力职业技术学院
369,河北机电职业技术学院
370,渤海石油职业学院
371,廊坊职业技术学院
372,唐山科技职业技术学院
373,石家庄邮电职业技术学院
374,河北公安警察职业学院
375,石家庄工商职业学院
376,石家庄理工职业学院
377,石家庄科技信息职业学院
378,河北司法警官职业学院
379,沧州医学高等专科学校
380,河北女子职业技术学院
381,石家庄医学高等专科学校
382,石家庄经济职业学院
383,冀中职业学院
384,石家庄人民医学高等专科学校
385,石家庄科技工程职业学院
386,河北劳动关系职业学院
387,石家庄科技职业学院
388,泊头职业学院
389,宣化科技职业学院
390,廊坊燕京职业技术学院
391,承德护理职业学院
392,石家庄幼儿师范高等专科学校
393,廊坊卫生职业学院
394,河北轨道运输职业技术学院
395,保定幼儿师范高等专科学校
396,河北工艺美术职业学院
397,渤海理工职业学院
398,唐山幼儿师范高等专科学校
399,曹妃甸职业技术学院
400,山西大学
401,太原科技大学
402,中北大学
403,太原理工大学
404,山西农业大学
405,山西医科大学
406,长治医学院
407,山西师范大学
408,太原师范学院
409,山西大同大学
410,晋中学院
411,长治学院
412,运城学院
413,忻州师范学院
414,山西财经大学
415,山西中医药大学
416,吕梁学院
417,太原学院
418,山西警察学院
419,山西应用科技学院
420,山西大学商务学院
421,太原理工大学现代科技学院
422,山西农业大学信息学院
423,山西师范大学现代文理学院
424,中北大学信息商务学院
425,太原科技大学华科学院
426,山西医科大学晋祠学院
427,山西财经大学华商学院
428,山西工商学院
429,太原工业学院
430,山西传媒学院
431,山西工程技术学院
432,山西能源学院
433,山西省财政税务专科学校
434,长治职业技术学院
435,山西艺术职业学院
436,晋城职业技术学院
437,山西建筑职业技术学院
438,山西药科职业学院
439,山西工程职业技术学院
440,山西交通职业技术学院
441,大同煤炭职业技术学院
442,山西机电职业技术学院
443,山西戏剧职业学院
444,山西财贸职业技术学院
445,山西林业职业技术学院
446,山西水利职业技术学院
447,阳泉职业技术学院
448,临汾职业技术学院
449,山西职业技术学院
450,山西煤炭职业技术学院
451,山西金融职业学院
452,太原城市职业技术学院
453,山西信息职业技术学院
454,山西体育职业学院
455,山西警官职业学院
456,山西国际商务职业学院
457,潞安职业技术学院
458,太原旅游职业学院
459,山西旅游职业学院
460,山西管理职业学院
461,山西电力职业技术学院
462,忻州职业技术学院
463,山西同文职业技术学院
464,晋中职业技术学院
465,山西华澳商贸职业学院
466,山西运城农业职业技术学院
467,运城幼儿师范高等专科学校
468,山西老区职业技术学院
469,山西经贸职业学院
470,朔州职业技术学院
471,运城职业技术学院
472,山西轻工职业技术学院
473,晋中师范高等专科学校
474,阳泉师范高等专科学校
475,山西青年职业学院
476,运城护理职业学院
477,运城师范高等专科学校
478,朔州师范高等专科学校
479,吕梁职业技术学院
480,内蒙古大学
481,内蒙古科技大学
482,内蒙古工业大学
483,内蒙古农业大学
484,内蒙古医科大学
485,内蒙古师范大学
486,内蒙古民族大学
487,赤峰学院
488,内蒙古财经大学
489,呼伦贝尔学院
490,集宁师范学院
491,河套学院
492,呼和浩特民族学院
493,内蒙古大学创业学院
494,内蒙古师范大学鸿德学院
495,内蒙古艺术学院
496,鄂尔多斯应用技术学院
497,内蒙古建筑职业技术学院
498,内蒙古丰州职业学院
499,包头职业技术学院
500,兴安职业技术学院
501,呼和浩特职业学院
502,包头轻工职业技术学院
503,内蒙古电子信息职业技术学院
504,内蒙古机电职业技术学院
505,内蒙古化工职业学院
506,内蒙古商贸职业学院
507,锡林郭勒职业学院
508,内蒙古警察职业学院
509,内蒙古体育职业学院
510,乌兰察布职业学院
511,通辽职业学院
512,科尔沁艺术职业学院
513,内蒙古交通职业技术学院
514,包头钢铁职业技术学院
515,乌海职业技术学院
516,内蒙古科技职业学院
517,内蒙古北方职业技术学院
518,赤峰职业技术学院
519,内蒙古经贸外语职业学院
520,包头铁道职业技术学院
521,乌兰察布医学高等专科学校
522,鄂尔多斯职业学院
523,内蒙古工业职业学院
524,呼伦贝尔职业技术学院
525,满洲里俄语职业学院
526,内蒙古能源职业学院
527,赤峰工业职业技术学院
528,阿拉善职业技术学院
529,内蒙古美术职业学院
530,内蒙古民族幼儿师范高等专科学校
531,鄂尔多斯生态环境职业学院
532,扎兰屯职业学院
533,辽宁大学
534,大连理工大学
535,沈阳工业大学
536,沈阳航空航天大学
